,Title,Company,City,Experience,working_mode,Publish,status,Category
36,Manager - MDM,Genpact India Pvt. Ltd.,Bangalore,5 to 10 Yrs,Be an Early ApplicantRegular,1 day ago,Premium,Fresher
37,Process Developer - MDM,Genpact India Pvt. Ltd.,Bangalore,2 to 5 Yrs,Be an Early ApplicantRegular,1 day ago,Premium,Experienced
38,Looking for- CIB - Data management - Data Management Sp ...,JPMorgan,Bangalore,3 to 5 Yrs,Regular,7 days ago,,Experienced
39,Corporate Risk - Data Management - Associate,JPMorgan,Mumbai City,3 to 6 Yrs,Be an Early ApplicantRegular,7 days ago,,Experienced
40,Chief Data Office - Data Management Associate,JPMorgan,Bangalore,10 to 14 Yrs,Be an Early ApplicantRegular,1 week ago,,Fresher
41,Recruit for the post of Data Solution Architect Supply...,Schneider Electric,Bangalore,2 to 3 Yrs,Be an Early ApplicantRegular,7 days ago,,Experienced
42,"Manager, Data Strategy",Standard Chartered Bank Ltd,Mumbai City,5 to 7 Yrs,Be an Early ApplicantRegular,1 day ago,Hot,Experienced
43,Recruiting for-Consultant _Oracle Apps technical,Genpact India Pvt. Ltd.,Hyderabad,3 to 5 Yrs,Be an Early ApplicantRegular,1 day ago,Premium,Experienced
44,Consultant- Full stack Java developer,Genpact India Pvt. Ltd.,Bangalore,5 to 14 Yrs,Be an Early ApplicantRegular,1 day ago,Premium,Experienced
45,Postedfor - Lead Consultant Java / Scala Developer,Genpact India Pvt. Ltd.,Mumbai City,1 to 3 Yrs,Be an Early ApplicantRegular,1 day ago,Premium,Experienced
46,Postedfor - Business Analyst - Tableau Developer,Genpact India Pvt. Ltd.,Bangalore,2 to 4 Yrs,Be an Early ApplicantRegular,7 days ago,,Experienced
47,Looking for- Assistant Vice President - CCOR Global Dat ...,JPMorgan,Hyderabad,4 to 6 Yrs,Be an Early ApplicantRegular,1 day ago,Premium,Experienced
48,Assistant Manager - Reporting Analyst,Genpact India Pvt. Ltd.,Noida,3 to 7 Yrs,Be an Early ApplicantRegular,1 day ago,Premium,Experienced
49,Lead consultant- regulatory affairs,Genpact India Pvt. Ltd.,Mumbai City,8 to 10 Yrs,Be an Early ApplicantRegular,1 day ago,Premium,Fresher
50,Lead Consultant -Java developer,Genpact India Pvt. Ltd.,Bangalore,4 to 9 Yrs,Be an Early ApplicantRegular,1 day ago,Premium,Experienced
51,Data Entry Operator (Female),SYTH INFOTECH PRIVATE LIMITED,All India,0 to 4 Yrs,Regular,2 days ago,Hot,Fresher
52,"Data Engineering Manager, WFM Data and Analytics Tech A ...",Amazon,Bangalore,5 to 9 Yrs,Regular,1 week ago,,Experienced
53,need- Manager/AVP-Data Analytics/Transformation,JPMorgan,Hyderabad,8 to 16 Yrs,Be an Early ApplicantRegular,7 days ago,,Experienced
54,Reference Data Manager - Wealth Management Operations - ...,JPMorgan,Mumbai City,3 to 8 Yrs,Regular,7 days ago,,Experienced
55, Req.for - Data Engineer,Amazon,Bangalore,3 to 4 Yrs,Regular,1 week ago,,Experienced
56,Data Analyst (Automation),JIVATECHNOLOGIES,Bangalore,5 to 8 Yrs,Be an Early ApplicantRegular5 ,1 day ago,Hot,Experienced
57,Data Analyst (Power BI),Beckman Coulter Life Sciences,Bangalore,3 Yrs,Be an Early ApplicantRegular,2 days ago,Hot,Experienced
58,CIB_Data Management Associate_Associate,JPMorgan,Bangalore,4 to 9 Yrs,Be an Early ApplicantRegular,7 days ago,,Experienced
59,CIBB Client Data Manager_Associate,JPMorgan,Hyderabad,8 to 10 Yrs,Be an Early ApplicantRegular,7 days ago,,Fresher
60,Data Entry Senior Representative,Join Wing Consulting,"Tambaram,Chennai, Vellore, Sivakasi, Kodaikanal, Kanchipuram, Vilupuram, Theni, Namakkal, Kumbakonam",0 to 4 Yrs,Remote99 ,4 days ago,,Fresher
61,Data Entry Senior Representative,Join Wing Consulting,"Thanjavur,Madurai, Bangalore, Chennai, Tiruchirappalli, Hyderabad, Vellore, Nagercoil, Tuticorin, Cuddalore",0 to 4 Yrs,Remote99 ,4 days ago,,Fresher
